"conference_acronym","conference_name","conference_location"
"CIKM Posters 2012","Posters: 21st ACM International Conference on Information and Knowledge Management","Maui, USA"
"BIRTE 2012","VLDB12 Workshop on Real-Time Business Intelligence","Istanbul, Turkey"
"BIGDATA 2012","Workshop on End-to-End Management of Big Data","Istanbul, Turkey"
"NISTBigData 2012","NIST Big Data Workshop","Gaithersburg, MD USA"
"QDB 2012","10th International Workshop on Quality in DataBases","Istanbul, Turkey"
"SBBD 2012","27th Brazilian Symposium on Database","S<U+00E3>o Paulo, Brazil"
"ECAI AIL 2012","Workshop on Active and Incremental Learning","Montpellier, France"
"IASIM 2012","Special Session on Intelligent Agents & Simulation","Rome, Italy"
"CIKM 2012","21st ACM International Conference on Information and Knowledge Management","Maui, USA"
"CIKM 2012","21st ACM International Conference on Information and Knowledge Management","Maui, U.S.A"
"SDM 2012","9th VLDB Workshop on Secure Data Management","Istanbul, Turkey"
"EDB 2012","The fourth International Conference on Emerging Databases - Technologies, Applications, and Theory","Seoul, Korea"
"IDEAS  2012","16th International Database Engineering & Applications Symposium","Prague,"
"SOMOCO 2012","International Workshop on SOcial and MObile COmputing for collaborative environments","Rome, Italy"
"PersDB 2012","Sixth International Workshop on Personalized Access, Profile Management, and Context Awareness in Databases","Istanbul, Turkey"
"DBRank 2012","Sixth International Workshop on Ranking in Databases","Instabul, Turkey"
"MDDE 2012","The First International Workshop on Multimedia Databases and Data Engineering","Istanbul, Turkey"
"MCSD 2012"," Mining Complex and Stream Data, MCSD 12","Poznan, Poland"
"MDSP 2012","The 1st International Workshop on Massive Data Storage and Processing","Harbin, China"
"NIMD 2012","Networking Implantable Medical Devices","Rome, Italy"
"ECDM 2012","Sixth International Workshop On Evolution And Change In Data Management","Florence, Italy"
"SUM 2012","Sixth International Conference on Scalable Uncertainty Management","Marburg, Germany"
"JISBD 2012","XVII Jornadas de Ingenier¨ªa del Software y Bases de Datos","Almer¨ªa, Spain"
"XMLDM 2012","The Third International Workshop on XML Data Management","Harbin, China"
"CISIM 2012","11th International Conference on Computer Information Systems and Industrial Management Applications","Venice, Italy"
"DATA 2012","International Conference on Data Technologies and Applications","Rome, Italy"
"DIM 2012","IEEE International Workshop on Data Integration and Mining","Las Vegas, Nevada, USA"
"DBLM 2012","International Workshop on Database Technology for Life Sciences and Medicine","Vienna, Austria"
"MEDI 2012","2nd International Conference On Model and Data Engineering","Poitiers, Futuroscope, France"
"HDMS 2012","2012 The Hellenic Data Management Symposium","Chania, Crete, Greece"
"MORE-BI 2012","2nd Int. Workshop on Modeling and Reasoning for Business Intelligence (MORE-BI 2012) at ER 2012","Florence, Italy"
"SEBD 2012","20th Italian Symposium on Advanced Database Systems","Venice, Italy"
"DaWaK 2012","14th International Conference on Data Warehousing and Knowledge Discovery","Vienna, Austria"
"SISAP 2012","5th International Conference on Similarity Search and Applications","Toronto, Canada"
"RSmeetDB 2012","2nd Workshop on Recommender Systems meet Databases","Vienna, Austria"
"BalticDB&IS 2012","10th International Baltic Conference on Data Bases and Information Systems","Vilnius, Lithuania"
"DBSocial 2012","Second ACM SIGMOD Workshop on Databases and Social Networks","Scottsdale, AZ, United States"
"DBTest 2012","Fifth International Workshop on Testing Database Systems","Scottsdale, Arizona, USA"
"SYRCoDIS 2012","The Eighth Spring Researchers Colloquium on Databases and Information Systems","Moscow, Russia"
"WebDB 2012","15th International Workshop on the Web and Databases","Scottsdale, AZ, USA"
"WOD 2012","First International Workshop on Open Data","Nantes, France"
"WOD  2012"," First International Workshop on Open Data (DEADLINE EXTENDED to MARCH 8th)","Nantes, France"
"AMW 2012","6th ALBERTO MENDELZON INTERNATIONAL WORKSHOP ON FOUNDATIONS OF DATA MANAGEMENT","Ouro Preto, Brazil"
"DCNET 2012","International Conference on Data Communication Networking (DCNET)","Rome, Italy"
"DCNET 2012","International Conference on Data Communication Networking","Rome, Italy"
"BalticDB&IS 2012","10th International Baltic Conference on Data Bases and Information Systems","Vilnius, Lithuania"
"VLDB 2012","38th International Conference on Very Large Databases","Istanbul, Turkey"
"DATA 2012","International Conference on Data Technologies and Applications (DATA)","Rome, Italy"
"MobiDE 2012","11th International ACM Workshop on Data Engineering for Wireless and Mobile Access","Scottsdale, Arizona, USA"
"VAST 2012","2nd Int'l Workshop on Variability-intensive Systems Testing, Validation & Verification","Montreal, Canada"
"SSDBM 2012","24th International Conference on Scientific and Statistical Database Management","Chania, Crete, Greece"
"SSDBM 2012","24th International Conference on SCIENTIFIC and Statistical Database Management","Chania, Crete, Greece"
"BDAS 2012","Bazy Danych - Aplikacje i Systemy","Ustron, Poland"
"NEDB Summit 2012","Fifth Annual New England Database Summit","Cambridge, MA, USA"
"FlashDB 2012","The Second International Workshop on Flash-based Database Systems","Busan, South Korea"
"MDM 2012","13th IEEE International Conference on Mobile Data Management","Bangalore, India"
"KES-IDT 2012","4th KES International Conference on Intelligent Decision Technologies","Gifu, Japan"
"PODS 2012","31st ACM SIGMOD-SIGACT-SIGART Symposium on Principles of Database Systems","Scottsdale, Arizona, USA"
"AIKED 2012","11th WSEAS International Conference on  ARTIFICIAL INTELLIGENCE, KNOWLEDGE  ENGINEERING and DATA BASES ","Cambridge. UK"
"SMDB 2012","Seventh International Workshop on Self-Managing Database Systems","Washington DC, USA"
"DMC 2012","The 1st International Workshop on Data Management in the Cloud","Washington DC, USA"
"DBDBD 2011","The Dutch Belgian Database Day","University of Twente, The Netherlands"
"SIGMOD 2012","2012 ACM SIGMOD International Conference on Management of Data","Scottsdale, Arizona, USA"
"SDMSM 2012","ICDE Workshop on Secure Data Management on Smart Phones and Mobile Devices","Washington DC, USA"
"STIR 2012","ICDE 2012 Workshop on Spatio Temporal data Integration and Retrieval","Washington DC, USA"
"GDM 2012","The 3rd International Workshop on Graph Data Management: Techniques and Applications","Washington DC, USA"
"HIS 2012","The 1st International Conference on Health Information Science","Beijing, China"
"DBKDA 2012","The Fourth International Conference on Advances in Databases, Knowledge, and Data Applications","Reunion Island "
"ISCI 2012","2012 IEEE Symposium on Computers & Informatics","Penang, Malaysia"
"D-CLOUD 2011","The 2011 International Workshop on Data Cloud","Hong Kong"
"COMNET SI on GreenNets 2011","COMNET Special Issue on ¡°Green Communication Networks¡±","N/A"
"ACIIDS 2012","The 4th Asian Conference on Intelligent Information and Database Systems","Kaohsiung, Taiwan"
"XLDB 2011","5th Extremely Large Databases Conference","Menlo Park, CA"
"ADC 2012","Australasian Database Conference","Melbourne, Australia"
"HPCDB 2011","1st Workshop on High Performance Computing Meets Databases","Seattle, WA, USA"
"DNIS 2011","7th International Workshop on Databases in Networked Information Systems","Aizu-Wakamatsu, Japan"
"COMAD 2011","The 17th International Conference on Management of Data","Bangalore, Karnataka, India"
"OrdRing 2011","First International Workshop on Ordering and Reasoning","Bonn, Germany"
"DDDM 2011","The 5th International Workshop on Domain Driven Data Mining ","Vancouver, Canada"
"ICDT 2012","15th International Conference on Database Theory","Berlin, Germany"
"DDDM 2011","CFP: DDDM 2011 Workshop joint with ICDM 2011, Deadline July 23, Vancouver, Canada","Vancouver, Canada"
"UOII 2011","Workshop User Oriented Information Integration","Riga, Latvia"
"VDA 2012","Conference on Visualization and Data Analysis","Burlingame, CA"
"IDEAS '11D 2011","15th International Database Engineering & Applications Symposium","Lisbon"
"DOLAP 2011","Fourteenth International Workshop on Data Warehousing and Olap","Glasgow, Scotland, UK"
"CAIA 2011","Context Aware Intelligent Assistance","Berlin, Germany"
"FDML 2011","International Symposium on Foundations of Data Mining and Learning","Kaohsiung, Taiwan"
"Oriental COCOSDA 2011"," International Conference on Speech Database and Assessments","Hsinchu City, Taiwan"
"CloudDB 2011","Third International Workshop on Cloud Data Management","Glasgow, Scotland, U.K."
"QoS-Workshop 2011","The 1st International Workshop on Service Oriented QoS Management from Theory to Practice","Beijing China"
"DBPL 2011","The 13th International Symposium on Database Programming Languages","Seattle, USA"
"DBRank 2011","Fifth International Workshop on Ranking in Databases In Conjunction with VLDB 2011","Seattle, WA, USA"
"AECCC--Ei Compendex and Scopus 2019","2019 African Electronics, Computer and Communication Conference (AECCC 2019)--Ei Compendex and Scopus","Rabat, Morocco"
"ICACS--Ei Compendex and Scopus 2019","2019 3rd International Conference on Algorithms, Computing and Systems (ICACS 2019)--Ei Compendex and Scopus","Rabat, Morocco"
"HP3C--Ei Compendex and Scopus 2019","2019 3rd International Conference on High Performance Compilation, Computing and Communications(HP3C 2019)--Ei Compendex, Scopus","Xi'an, China"
"EI/Scopus-PRIS 2019","2019 International Conference on Pattern Recognition and Intelligent Systems (PRIS 2019)","Shanghai,China"
"VIPERC 2019","Visual Pattern Extraction and Recognition for Cultural Heritage Understanding Workshop","Pisa, Italy"
"WSAI--Ei Compendex and Scopus 2019","2019 World Symposium on Artificial Intelligence (WSAI 2019)--Ei Compendex and Scopus","Xi'an, China"
"ACAE--Ei and Scopus 2019","2019 Asia Conference on Automation Engineering (ACAE 2019)--EI Compendex, Scopus","Kuala Lumpur, Malaysia"
"ICFIT--EI, Scopus 2019","2019 8th International Conference on Frontiers of Information Technology (ICFIT 2019)--EI Compendex, Scopus","Nice, France"
"ICCRE--IEEE, EI and Scopus 2019","IEEE--2019 4th International Conference on Control and Robotics Engineering (ICCRE 2019)--EI Compendex and Scopus","Nanjing, China"
"SML 2019","ICSC-2019 Semantic Machine Learning Workshop","California, USA"
"JELIA 2019","JELIA 2019 - DEADLINES EXTENDED (Abstract 2 Dec. - Submission 7 Dec.)","Rende, Italy"
"ICCS 2019","24th International Conference on Conceptual Structures - Graphs in Human and Machine Cognition","Marburg"
"AIAP 2019","6th International Conference on Artificial Intelligence and Applications ","Vancouver, Canada"
"SIPO 2019","3rd International Conference on Signal, Image Processing ","Chennai, India"
"AIFU  2019","5th International Conference on Artificial Intelligence and Applications ","Toronto, Canada "
"IT 2019","8th International Conference on Information Theory ","Vancouver, Canada"
"IJFCST 2018","International Journal on Foundations of Computer Science & Technology","N/A"
"IJAIA 2018","International Journal of Artificial Intelligence & Applications","N/A"
"SIPRO  2019","5th International Conference on Signal and Image Processing ","Toronto, Canada"
"MathSJ  2018","Applied Mathematics and Sciences: An International Journal ","N/A"
"SOEA  2019","3rd International Conference on Software Engineering and Applications","Chennai, India"
"AISCA  2019","3rd International Conference on Artificial Intelligence, Soft Computing And Applications ","Chennai, India"
"DMDB  2019","6th International Conference on Data Mining and Database ","Vancouver, Canada"
"MECHATROJ 2018","Mechatronics and Applications: An International Journal","N/A"
"JoL 2018","International Journal of Law ","N/A"
"ICBB 2019","6th International Conference on Bioinformatics and Bioscience ","Vancouver, Canada"
"AIAPP 2019","6th International Conference on Artificial Intelligence and Applications (AIAPP 2019)","Dubai, UAE"
"ICGHIT (Xplore, SCI, Scopus) 2019","The 7th International Conference on Green and Human Information Technology","Kuala Lumpur, Malaysia"
"MECH 2019","3rd International Conference on Mechanical Engineering ","Dubai,UAE"
"ICGDA--Ei Compendex and Scopus 2019","2019 2nd International Conference on Geoinformatics and Data Analysis (ICGDA 2019)--Ei Compendex and Scopus","Prague, Czech Republic"
"ICISE--Ei Compendex and Scopus 2019","2019 4th International Conference on Information Systems Engineering (ICISE 2019)--Ei Compendex and Scopus","Shanghai, China"
"ICSSE--Ei and Scopus 2019","2019 2nd International Conference on Software and Services Engineering (ICSSE 2019)--Ei Compendex and Scopus","Prague, Czech Republic"
"IEEE--ICMIMT--Ei and Scopus 2019","2019 IEEE 10th International Conference on Mechanical and Intelligent Manufacturing Technologies (ICMIMT 2019)--Ei Compendex and Scopus","Cape Town, South Africa"
"ICMLSC--Ei Compendex and Scopus 2019","2019 3rd International Conference on Machine Learning and Soft Computing (ICMLSC 2019)--Ei Compendex and Scopus","Da Lat, Vietnam"
"CogSIMA 2019","IEEE Conference on Cognitive and Computational Aspects of Situation Management ","Luxor Hotel, Las Vegas, NV, USA"
